54.3589,77.1733,105.863,160.484
69.7776,97.7552,128.689,162.86
72.0356,111.097,130.82,183.417
123.495,198.053,248.014,293.543
86.8499,110.087,147.553,188.37
194.542,270.449,356.416,469.139
99.2166,149.988,186.759,239.654
363.228,517.886,676.575,839.246
109.719,173.521,225.115,269.159
542.901,789.553,1037.25,1292.66
141.451,183.061,257.589,322.135
699.729,1024.44,1347.93,1685.88
165.462,211.207,279.92,347.891
859,1250.92,1680.47,2084.84
170.776,246.803,320.978,383.958
1088.7,1602.46,2024.16,2607.74
223.634,298,454.941,524.886
1469.15,2244.47,3096.46,3638.71
