63.0549,63.2757,68.0471,91.0642,87.6329,94.6926,98.1192,114.76,121.7,134.238
73.7995,77.7205,86.0251,110.314,102.118,112.626,129.365,129.921,141.663,158.402
74.6374,92.6892,106.297,118.22,162.01,137.679,153.909,148.545,179.806,208.128
140.551,161.678,179.066,195.515,291.663,208.203,248.398,273.129,296.45,332.117
99.8866,116.894,104.359,139.275,157.945,162.752,170.238,165.266,173.199,192.71
227.275,246.374,255.112,285.951,333.82,346.518,381.7,401.542,448.447,478.981
123.162,131.25,161.002,157.201,185.409,195.517,201.387,200.1,241.065,247.307
383.919,447.065,501.466,596.617,638.841,628.075,698.476,722.368,780.048,843.845
119.194,140.646,155.051,195.237,207.959,294.945,260.321,243.749,285.988,286.561
552.354,630.72,735.707,840.38,936.688,988.799,1059.55,1163.13,1210.49,1373.89
